year_month,ppm,aqi,type
2000-01,22.54417086,35.43739395,NO2
2000-02,24.34603328,39.97302489,NO2
2000-03,18.96068916,34.25165567,NO2
2000-04,16.29364858,31.86337608,NO2
2000-05,14.97519279,29.71669237,NO2
2000-06,14.47549292,28.83886736,NO2
2000-07,14.40311909,28.84056294,NO2
2000-08,15.66985427,31.19771238,NO2
2000-09,15.54207347,29.05072807,NO2
2000-10,20.64020524,35.37876674,NO2
2000-11,21.87734907,35.07445003,NO2
2000-12,23.06564869,35.30063662,NO2
2001-01,25.43727692,38.27807943,NO2
2001-02,21.30260879,34.42982424,NO2
2001-03,19.69963257,34.62586028,NO2
2001-04,17.52565957,34.16506118,NO2
2001-05,16.9840044,32.67600762,NO2
2001-06,16.31621475,31.99978492,NO2
2001-07,15.06921937,28.95717416,NO2
2001-08,16.81444679,31.81347489,NO2
2001-09,16.51894318,30.85279283,NO2
2001-10,18.32229682,32.50014348,NO2
2001-11,20.60782386,33.55066989,NO2
2001-12,21.81672185,33.47577439,NO2
2002-01,23.32713251,35.50515842,NO2
2002-02,21.56152571,36.30005347,NO2
2002-03,17.24684837,30.97076551,NO2
2002-04,14.40714457,28.22682362,NO2
2002-05,13.89334121,27.59043613,NO2
2002-06,14.12174753,28.54722932,NO2
2002-07,13.53799342,26.93057703,NO2
2002-08,14.11864694,27.57876018,NO2
2002-09,14.76367542,28.46783856,NO2
2002-10,15.48663895,25.96245487,NO2
2002-11,19.84866249,31.68652226,NO2
2002-12,21.70834994,32.86006144,NO2
2003-01,21.49226674,33.39375454,NO2
2003-02,20.79125024,33.8926552,NO2
2003-03,16.55259762,29.15479072,NO2
2003-04,14.02718859,27.03327989,NO2
2003-05,14.01865147,26.83874351,NO2
2003-06,13.83721177,27.51284906,NO2
2003-07,13.35153045,25.92661501,NO2
2003-08,13.68280441,25.79456797,NO2
2003-09,14.79606743,27.48344621,NO2
2003-10,18.72975107,32.46103767,NO2
2003-11,19.29920949,31.28387306,NO2
2003-12,20.98067052,33.08516398,NO2
2004-01,20.26060047,31.6266461,NO2
2004-02,21.4587564,35.0983013,NO2
2004-03,17.21988717,31.38673375,NO2
2004-04,14.50198668,29.09286421,NO2
2004-05,12.64905405,25.49768481,NO2
2004-06,12.96678924,25.2637273,NO2
2004-07,12.59908133,24.74926443,NO2
2004-08,13.3839007,25.23146562,NO2
2004-09,15.86121042,29.93196356,NO2
2004-10,15.57281112,27.00833273,NO2
2004-11,17.80261843,28.14001006,NO2
2004-12,20.13003203,31.034609,NO2
2005-01,18.76748484,29.16699671,NO2
2005-02,18.43947355,30.6203975,NO2
2005-03,18.07619442,33.12046588,NO2
2005-04,15.71904565,32.10749848,NO2
2005-05,13.7401542,27.80981826,NO2
2005-06,12.95035389,26.15657644,NO2
2005-07,12.26684924,24.38697086,NO2
2005-08,14.083421,27.0428718,NO2
2005-09,15.32993601,29.84071868,NO2
2005-10,15.70295809,27.62257716,NO2
2005-11,18.34286016,30.34156635,NO2
2005-12,22.21579611,33.37112845,NO2
2006-01,18.10408126,29.76999463,NO2
2006-02,18.52214883,31.9165061,NO2
2006-03,14.62396619,27.42890897,NO2
2006-04,13.25752465,27.96086634,NO2
2006-05,12.71560637,26.25599266,NO2
2006-06,12.54008368,25.79812432,NO2
2006-07,11.58693847,22.89533867,NO2
2006-08,11.53972546,23.13042442,NO2
2006-09,12.52416813,24.13570133,NO2
2006-10,14.3893181,26.40243997,NO2
2006-11,18.6782222,31.00542926,NO2
2006-12,18.83060319,29.76711762,NO2
2007-01,16.02674242,26.86957601,NO2
2007-02,17.22225396,29.04042996,NO2
2007-03,14.99343508,28.92648371,NO2
2007-04,11.55778596,24.44175612,NO2
2007-05,11.20678768,22.93715121,NO2
2007-06,10.57645867,21.71781626,NO2
2007-07,9.727637259,20.11753813,NO2
2007-08,10.29339552,21.22208606,NO2
2007-09,11.04144917,22.44079439,NO2
2007-10,12.98115782,24.37614958,NO2
2007-11,15.82083003,26.54192409,NO2
2007-12,16.83385305,27.17069516,NO2
2008-01,16.44880465,27.93766512,NO2
2008-02,16.25263745,28.38607629,NO2
2008-03,13.84250101,26.93133816,NO2
2008-04,11.34837286,24.348748,NO2
2008-05,9.807105927,21.82236804,NO2
2008-06,9.210356322,19.76121879,NO2
2008-07,8.919814624,18.98150059,NO2
2008-08,9.029160326,19.11753817,NO2
2008-09,10.360841,21.01840947,NO2
2008-10,12.55981033,23.86763307,NO2
2008-11,13.70088423,23.93521838,NO2
2008-12,13.66065541,23.41034222,NO2
2009-01,15.96591732,27.79130524,NO2
2009-02,13.45910808,25.43324615,NO2
2009-03,11.76717099,23.49862115,NO2
2009-04,10.19470718,22.01495422,NO2
2009-05,8.351326672,17.78812239,NO2
2009-06,7.855432766,16.64046933,NO2
2009-07,7.606143601,16.20984193,NO2
2009-08,8.201208608,17.20156145,NO2
2009-09,9.131201388,18.4390087,NO2
2009-10,9.932309797,18.52358273,NO2
2009-11,13.01750955,22.82437835,NO2
2009-12,13.70580892,23.03968595,NO2
2010-01,14.48540889,24.64966849,NO2
2010-02,13.87442976,25.35108599,NO2
2010-03,12.1408932,25.07324832,NO2
2010-04,9.866580699,22.13286021,NO2
2010-05,8.287797606,18.07046456,NO2
2010-06,7.978895887,16.72196891,NO2
2010-07,7.823137865,16.66251271,NO2
2010-08,8.677721914,18.25617855,NO2
2010-09,9.754621269,20.23412432,NO2
2010-10,11.61438092,23.22595333,NO2
2010-11,12.76013011,23.28471254,NO2
2010-12,14.65473209,24.47572079,NO2
2011-01,16.60638168,27.60650063,NO2
2011-02,14.60962646,27.29151485,NO2
2011-03,11.32988533,23.48580692,NO2
2011-04,9.024189824,20.42900468,NO2
2011-05,8.54100282,18.50403217,NO2
2011-06,8.529360493,18.14371666,NO2
2011-07,8.225004166,17.35954104,NO2
2011-08,9.309774039,19.28676783,NO2
2011-09,9.968757754,20.28789149,NO2
2011-10,12.58100518,24.00193405,NO2
2011-11,14.09118877,24.97886381,NO2
2011-12,16.05757254,26.20364362,NO2
2012-01,14.52003619,25.10435696,NO2
2012-02,13.62850613,25.13424378,NO2
2012-03,10.95215668,22.86103373,NO2
2012-04,9.001207639,20.27738972,NO2
2012-05,8.59023287,19.07631374,NO2
2012-06,7.875881286,17.47329161,NO2
2012-07,7.767362592,16.14503652,NO2
2012-08,9.131507724,19.01227424,NO2
2012-09,9.732587606,20.0409783,NO2
2012-10,10.82558516,20.58752307,NO2
2012-11,14.40633105,24.92505189,NO2
2012-12,12.92812831,22.25099822,NO2
2013-01,14.14098889,23.95302815,NO2
2013-02,12.43138181,23.40724098,NO2
2013-03,10.38244458,21.79201946,NO2
2013-04,8.357862629,18.81804518,NO2
2013-05,7.592499896,16.56135101,NO2
2013-06,7.000735633,15.00258305,NO2
2013-07,7.064785253,14.37281137,NO2
2013-08,8.446035843,17.08825385,NO2
2013-09,8.828711314,18.3343686,NO2
2013-10,10.89968829,20.64849231,NO2
2013-11,11.7015982,21.1025012,NO2
2013-12,15.03192432,24.424106,NO2
2014-01,14.04922143,25.02412208,NO2
2014-02,13.94508324,25.767783,NO2
2014-03,11.17572634,23.12023463,NO2
2014-04,8.497648695,19.60470563,NO2
2014-05,7.688745801,17.40802181,NO2
2014-06,6.710821428,14.66571806,NO2
2014-07,6.463579826,13.84204361,NO2
2014-08,7.354234506,15.654955,NO2
2014-09,8.547001568,18.08588827,NO2
2014-10,9.943477662,19.53091308,NO2
2014-11,11.61152705,21.15699972,NO2
2014-12,11.96111744,19.85708057,NO2
2015-01,13.58626674,23.4306739,NO2
2015-02,12.85014942,24.2097508,NO2
2015-03,11.64756594,23.18528097,NO2
2015-04,8.339779129,19.00513154,NO2
2015-05,7.017477165,15.24558837,NO2
2015-06,6.599909744,14.03831697,NO2
2015-07,6.539865912,13.95370247,NO2
2015-08,6.865451889,14.99184132,NO2
2015-09,7.888406429,16.63072663,NO2
2015-10,8.853888171,17.56544105,NO2
2015-11,10.63662267,19.68000411,NO2
2015-12,11.75807843,20.10303463,NO2
2000-01,5.843493992,20.07995447,SO2
2000-02,5.524916137,20.35945667,SO2
2000-03,3.946381534,15.9730135,SO2
2000-04,3.641701028,16.03526299,SO2
2000-05,3.554934096,15.60452146,SO2
2000-06,3.859923245,17.28455937,SO2
2000-07,3.693747831,16.86948396,SO2
2000-08,3.702576141,16.72918189,SO2
2000-09,4.190966739,17.72876104,SO2
2000-10,5.108514142,18.74830797,SO2
2000-11,5.003429951,17.59935756,SO2
2000-12,6.847297394,22.21758448,SO2
2001-01,6.647664011,22.73032499,SO2
2001-02,4.231778275,16.59263892,SO2
2001-03,3.96799415,16.53532511,SO2
2001-04,3.72128561,15.78542391,SO2
2001-05,3.288158007,15.10894946,SO2
2001-06,3.355170994,16.48258878,SO2
2001-07,3.561113306,17.08455974,SO2
2001-08,3.604783198,18.0627714,SO2
2001-09,2.841656419,14.02287375,SO2
2001-10,3.010061149,13.88958487,SO2
2001-11,3.831425219,15.8978399,SO2
2001-12,3.848584268,15.80788848,SO2
2002-01,4.701072139,18.41816799,SO2
2002-02,3.760288579,16.26943934,SO2
2002-03,3.424618629,14.10827794,SO2
2002-04,2.455948064,11.75620369,SO2
2002-05,2.396533816,11.77980631,SO2
2002-06,2.597264921,13.02437591,SO2
2002-07,2.499531356,12.0306261,SO2
2002-08,2.582517065,12.66639738,SO2
2002-09,2.451931161,11.10973134,SO2
2002-10,2.788259051,11.10806255,SO2
2002-11,3.80692371,14.81771366,SO2
2002-12,4.856198768,17.44958333,SO2
2003-01,5.372572363,18.30299303,SO2
2003-02,4.971083276,17.13678605,SO2
2003-03,3.236667319,12.86140711,SO2
2003-04,2.802058618,13.17078173,SO2
2003-05,2.502674544,12.51231827,SO2
2003-06,2.960050503,13.76607404,SO2
2003-07,3.233954115,15.14689865,SO2
2003-08,3.03977125,14.25124553,SO2
2003-09,2.647658266,12.69379844,SO2
2003-10,3.55388357,15.03791896,SO2
2003-11,4.122637378,14.22801058,SO2
2003-12,4.899638088,16.98557205,SO2
2004-01,5.419641145,17.72104575,SO2
2004-02,4.61280442,17.07235495,SO2
2004-03,3.327130756,13.98096829,SO2
2004-04,3.148374299,13.46227003,SO2
2004-05,2.856302496,12.85968078,SO2
2004-06,3.012156117,13.74154888,SO2
2004-07,2.73299724,12.28102534,SO2
2004-08,2.474655868,12.32389244,SO2
2004-09,2.660452287,12.12887149,SO2
2004-10,2.809196371,12.42612817,SO2
2004-11,3.627313213,13.88930116,SO2
2004-12,4.719109764,17.25271972,SO2
2005-01,4.026554321,15.14339401,SO2
2005-02,3.943556453,14.67549166,SO2
2005-03,3.689802822,14.23877555,SO2
2005-04,2.89645089,13.42949972,SO2
2005-05,2.572965054,11.8410465,SO2
2005-06,2.8420427,13.45724399,SO2
2005-07,2.478312149,11.74657618,SO2
2005-08,2.687356569,13.52224414,SO2
2005-09,2.768796548,14.061357,SO2
2005-10,2.794356315,12.9112003,SO2
2005-11,3.693102919,14.22707946,SO2
2005-12,5.029378462,16.99385909,SO2
2006-01,3.675072254,13.51863258,SO2
2006-02,3.810699695,13.02327497,SO2
2006-03,2.675198268,10.23016799,SO2
2006-04,2.775175346,11.4262157,SO2
2006-05,3.232974606,11.70224722,SO2
2006-06,2.48420921,11.09240655,SO2
2006-07,2.5487512,12.3936173,SO2
2006-08,2.290845433,11.19789621,SO2
2006-09,2.267087786,10.31118971,SO2
2006-10,2.428749498,9.863227099,SO2
2006-11,2.951276763,11.50974641,SO2
2006-12,3.708521048,13.41504807,SO2
2007-01,3.256650497,11.20989618,SO2
2007-02,4.216196784,13.76030996,SO2
2007-03,2.736335299,10.77351473,SO2
2007-04,2.15373251,9.615876935,SO2
2007-05,1.899520357,8.374042804,SO2
2007-06,2.030400019,8.781395943,SO2
2007-07,2.196899845,9.215338692,SO2
2007-08,2.195572956,9.825475023,SO2
2007-09,2.21551665,9.69118513,SO2
2007-10,2.200782308,9.06341539,SO2
2007-11,2.614456085,10.48748523,SO2
2007-12,2.584007545,9.057296246,SO2
2008-01,3.089389188,10.88636001,SO2
2008-02,2.72937594,10.64017867,SO2
2008-03,2.055320164,7.990574586,SO2
2008-04,1.680426391,7.418810281,SO2
2008-05,1.575471262,6.836609833,SO2
2008-06,1.739645887,7.584217325,SO2
2008-07,1.810505838,7.769637791,SO2
2008-08,1.713063945,7.656336069,SO2
2008-09,1.692573687,6.702989376,SO2
2008-10,2.001123262,7.849075424,SO2
2008-11,2.32898474,8.312392234,SO2
2008-12,2.51180951,8.721086586,SO2
2009-01,3.621814962,11.47176475,SO2
2009-02,2.704064053,9.186882736,SO2
2009-03,1.983863078,7.202329753,SO2
2009-04,1.902702567,7.391065806,SO2
2009-05,1.570771364,5.977100038,SO2
2009-06,1.323341835,5.774773387,SO2
2009-07,1.168633023,5.205175003,SO2
2009-08,1.193970748,5.72503367,SO2
2009-09,1.175869024,4.594300132,SO2
2009-10,1.43712184,4.965148884,SO2
2009-11,1.734784277,6.629923602,SO2
2009-12,2.026096316,6.962482781,SO2
2010-01,2.373126029,7.748082929,SO2
2010-02,2.030419744,7.069974835,SO2
2010-03,1.431920302,5.778264192,SO2
2010-04,1.250951765,4.598958602,SO2
2010-05,0.95174186,3.691734086,SO2
2010-06,1.164056859,4.402072968,SO2
2010-07,1.314702435,4.781897987,SO2
2010-08,1.289246085,4.518775108,SO2
2010-09,1.369740353,4.371327418,SO2
2010-10,1.392338848,5.06952895,SO2
2010-11,1.607769364,4.549465315,SO2
2010-12,2.043601507,6.414413877,SO2
2011-01,2.16069312,7.214966467,SO2
2011-02,1.851468564,6.249306466,SO2
2011-03,1.341322496,4.595740946,SO2
2011-04,1.218345382,4.218399077,SO2
2011-05,1.163112295,4.073516553,SO2
2011-06,1.169741029,4.463416259,SO2
2011-07,1.156151729,4.827688621,SO2
2011-08,1.258550281,4.997745256,SO2
2011-09,1.010449161,3.854277042,SO2
2011-10,1.150666269,3.995956058,SO2
2011-11,1.185165778,4.074289172,SO2
2011-12,1.447282634,4.986311616,SO2
2012-01,1.407473373,5.150062283,SO2
2012-02,1.269048897,4.83321798,SO2
2012-03,0.913969232,3.606756182,SO2
2012-04,0.819310907,3.470635639,SO2
2012-05,0.792487643,3.416929585,SO2
2012-06,0.865127793,3.816323033,SO2
2012-07,0.931211451,3.76380704,SO2
2012-08,0.846363476,3.397593314,SO2
2012-09,0.684149022,2.426396114,SO2
2012-10,0.770146948,2.649716674,SO2
2012-11,1.208985596,4.098322355,SO2
2012-12,1.074379021,3.462391,SO2
2013-01,1.392100405,4.616418233,SO2
2013-02,1.134568751,4.120041293,SO2
2013-03,0.973245212,3.512071372,SO2
2013-04,0.759448423,2.725729209,SO2
2013-05,0.63438218,2.117701736,SO2
2013-06,0.645807042,2.245240501,SO2
2013-07,0.68625286,2.470773244,SO2
2013-08,0.738159679,3.095553658,SO2
2013-09,0.65921924,2.596444421,SO2
2013-10,0.789408363,3.20315316,SO2
2013-11,0.97629691,3.806315866,SO2
2013-12,1.274579053,4.885474084,SO2
2014-01,1.418396167,5.263077082,SO2
2014-02,1.376310441,5.60932881,SO2
2014-03,1.039225623,4.309853855,SO2
2014-04,0.742387156,3.104938231,SO2
2014-05,0.718382526,2.809589639,SO2
2014-06,0.678778069,2.469047987,SO2
2014-07,0.78203753,2.677355947,SO2
2014-08,0.767875468,2.910350579,SO2
2014-09,0.777905428,3.12649036,SO2
2014-10,0.890662563,3.547226554,SO2
2014-11,1.307915759,4.468260623,SO2
2014-12,1.206942488,3.638193983,SO2
2015-01,1.257227656,4.114934991,SO2
2015-02,1.535539165,5.033208817,SO2
2015-03,1.018252991,3.800404647,SO2
2015-04,0.777050622,2.733444209,SO2
2015-05,0.737215233,2.388937088,SO2
2015-06,0.644298689,2.332683411,SO2
